100 5000
68 25 15
11 10 1
54 13 12
65 91 20
20 8 16
74 58 18
66 60 8
39 62 10
26 53 3
49 78 15
98 22 9
75 8 16
16 91 14
20 60 10
56 14 6
94 45 1
77 44 11
13 65 13
17 82 1
79 86 19
31 39 5
22 26 4
90 95 9
91 52 12
49 98 13
92 18 14
52 50 6
1 66 4
72 49 13
99 94 18
97 14 10
77 39 15
4 45 2
10 13 3
20 56 13
63 38 9
74 5 5
59 68 19
99 89 4
81 63 19
2 22 10
36 79 4
54 96 19
53 45 14
36 30 5
12 24 12
18 62 10
93 77 3
0 5 17
10 48 19
39 51 18
7 0 7
39 5 5
88 32 1
0 24 12
61 12 18
17 84 4
14 58 3
39 70 6
58 8 12
69 90 18
3 12 9
62 60 18
48 93 19
73 69 14
52 21 10
73 11 7
24 87 5
2 23 4
34 47 20
70 91 2
1 29 18
45 38 9
77 63 17
16 17 8
52 45 14
41 95 16
84 51 16
55 48 3
80 76 19
67 29 14
56 60 8
13 99 7
15 73 19
41 67 18
55 35 11
74 92 5
10 46 5
21 4 14
89 66 20
93 35 19
97 77 19
58 78 15
38 16 3
43 5 7
86 77 14
80 88 1
63 61 12
24 95 4
88 51 8
16 38 13
83 73 18
64 62 17
33 22 6
9 70 12
44 36 7
7 31 11
43 36 18
87 19 12
46 33 12
84 18 20
43 30 7
7 42 6
45 27 16
80 89 5
5 18 14
11 63 5
33 95 8
14 96 7
40 27 15
39 40 10
30 72 16
3 72 11
96 46 20
50 52 10
37 79 16
47 69 7
33 71 19
20 12 15
21 27 1
73 32 18
44 65 3
39 28 18
23 0 2
18 12 7
67 49 12
45 90 14
97 27 5
84 12 7
70 17 18
37 12 20
61 33 8
36 9 11
78 47 14
25 36 4
29 91 5
2 45 7
72 53 10
8 43 16
5 10 15
27 60 5
0 79 6
61 82 3
4 54 16
76 59 9
86 79 15
5 41 10
84 34 5
53 65 6
86 23 17
52 5 14
47 74 14
19 94 5
63 1 13
55 8 2
17 80 5
48 6 11
29 62 2
83 81 8
12 0 12
1 94 10
34 20 18
49 91 19
92 59 11
53 62 11
43 96 14
64 81 17
76 8 13
94 71 11
70 16 13
3 70 6
28 83 1
18 46 7
82 8 17
24 21 4
36 1 13
59 84 9
83 94 3
74 68 2
98 67 5
49 96 19
20 0 1
22 55 5
47 90 10
66 47 13
32 76 9
23 58 11
53 82 14
7 60 5
41 32 3
32 65 19
98 55 9
51 21 5
4 38 11
72 60 20
31 77 18
60 38 9
82 26 15
63 79 1
92 16 8
21 52 13
9 53 13
72 62 5
68 0 1
55 89 18
41 33 13
35 27 8
88 0 1
9 23 2
68 64 10
35 48 13
7 47 17
50 44 5
26 70 11
30 42 19
28 14 15
9 54 9
97 0 8
83 55 9
67 86 16
42 9 14
84 89 17
71 49 8
90 63 10
90 87 20
83 42 7
49 86 2
78 51 3
65 3 9
75 27 7
13 50 16
71 22 6
85 58 14
57 52 7
81 2 1
12 15 15
92 75 3
12 67 6
47 14 13
81 68 2
16 65 1
57 82 14
84 11 15
80 6 14
83 96 6
25 67 20
87 99 17
38 95 16
15 24 11
46 77 5
13 68 9
4 77 1
82 23 14
42 70 6
40 15 9
63 55 9
96 45 2
94 13 6
73 45 12
10 14 20
50 32 7
85 21 16
99 28 1
13 34 20
61 47 3
92 41 13
90 79 5
19 96 9
34 65 6
81 24 9
28 36 7
38 35 11
53 99 19
86 71 17
30 24 8
41 73 17
58 76 7
71 6 8
90 91 6
55 76 3
41 13 9
35 24 10
1 27 9
30 46 6
86 72 1
7 41 1
15 56 14
70 68 19
97 10 20
68 86 10
11 29 3
99 53 18
18 24 5
53 14 20
8 26 2
84 3 14
85 80 1
37 10 11
88 45 8
32 87 8
72 1 11
43 84 2
8 87 13
9 78 14
30 5 1
24 12 1
19 93 13
90 0 4
6 60 19
34 64 19
42 10 9
28 54 8
80 45 3
