100 360
0 1 11
0 10 12
1 2 4
1 11 12
1 0 19
2 3 7
2 12 7
2 1 6
3 4 1
3 13 5
3 2 14
4 5 5
4 14 20
4 3 14
5 6 17
5 15 7
5 4 11
6 7 20
6 16 10
6 5 5
7 8 17
7 17 19
7 6 9
8 9 15
8 18 19
8 7 4
9 19 10
9 8 3
10 11 5
10 20 10
10 0 8
11 12 20
11 21 7
11 10 3
11 1 4
12 13 1
12 22 5
12 11 18
12 2 15
13 14 17
13 23 14
13 12 18
13 3 15
14 15 2
14 24 18
14 13 6
14 4 13
15 16 2
15 25 1
15 14 12
15 5 18
16 17 20
16 26 10
16 15 10
16 6 6
17 18 4
17 27 16
17 16 1
17 7 6
18 19 12
18 28 15
18 17 9
18 8 19
19 29 6
19 18 11
19 9 12
20 21 12
20 30 1
20 10 7
21 22 8
21 31 1
21 20 16
21 11 11
22 23 2
22 32 18
22 21 20
22 12 8
23 24 8
23 33 9
23 22 1
23 13 14
24 25 5
24 34 5
24 23 19
24 14 10
25 26 12
25 35 4
25 24 18
25 15 13
26 27 9
26 36 9
26 25 8
26 16 9
27 28 3
27 37 13
27 26 6
27 17 17
28 29 10
28 38 14
28 27 9
28 18 6
29 39 7
29 28 4
29 19 11
30 31 9
30 40 3
30 20 13
31 32 5
31 41 5
31 30 11
31 21 10
32 33 15
32 42 14
32 31 19
32 22 6
33 34 3
33 43 17
33 32 4
33 23 14
34 35 4
34 44 15
34 33 2
34 24 5
35 36 2
35 45 15
35 34 10
35 25 6
36 37 4
36 46 1
36 35 10
36 26 6
37 38 14
37 47 14
37 36 13
37 27 5
38 39 9
38 48 14
38 37 4
38 28 5
39 49 4
39 38 3
39 29 15
40 41 5
40 50 16
40 30 16
41 42 9
41 51 13
41 40 12
41 31 9
42 43 9
42 52 15
42 41 9
42 32 7
43 44 16
43 53 13
43 42 6
43 33 4
44 45 8
44 54 2
44 43 20
44 34 17
45 46 9
45 55 10
45 44 5
45 35 15
46 47 5
46 56 11
46 45 15
46 36 12
47 48 14
47 57 1
47 46 20
47 37 12
48 49 20
48 58 12
48 47 2
48 38 8
49 59 18
49 48 18
49 39 20
50 51 17
50 60 5
50 40 19
51 52 9
51 61 7
51 50 5
51 41 17
52 53 15
52 62 10
52 51 20
52 42 8
53 54 17
53 63 16
53 52 3
53 43 15
54 55 6
54 64 5
54 53 10
54 44 1
55 56 6
55 65 3
55 54 7
55 45 13
56 57 1
56 66 20
56 55 7
56 46 7
57 58 15
57 67 13
57 56 5
57 47 9
58 59 4
58 68 18
58 57 8
58 48 6
59 69 12
59 58 2
59 49 20
60 61 1
60 70 5
60 50 13
61 62 10
61 71 5
61 60 4
61 51 15
62 63 17
62 72 8
62 61 17
62 52 3
63 64 18
63 73 2
63 62 9
63 53 5
64 65 1
64 74 6
64 63 5
64 54 17
65 66 16
65 75 12
65 64 16
65 55 19
66 67 5
66 76 15
66 65 18
66 56 7
67 68 10
67 77 14
67 66 12
67 57 3
68 69 3
68 78 15
68 67 11
68 58 11
69 79 4
69 68 20
69 59 17
70 71 18
70 80 13
70 60 20
71 72 1
71 81 14
71 70 15
71 61 11
72 73 11
72 82 1
72 71 17
72 62 16
73 74 19
73 83 8
73 72 20
73 63 8
74 75 20
74 84 19
74 73 8
74 64 14
75 76 9
75 85 20
75 74 19
75 65 3
76 77 20
76 86 11
76 75 11
76 66 17
77 78 19
77 87 3
77 76 14
77 67 11
78 79 15
78 88 5
78 77 11
78 68 9
79 89 14
79 78 1
79 69 5
80 81 17
80 90 2
80 70 4
81 82 13
81 91 5
81 80 1
81 71 13
82 83 6
82 92 11
82 81 6
82 72 20
83 84 3
83 93 7
83 82 6
83 73 1
84 85 8
84 94 20
84 83 20
84 74 19
85 86 17
85 95 20
85 84 2
85 75 8
86 87 19
86 96 6
86 85 12
86 76 2
87 88 6
87 97 6
87 86 16
87 77 16
88 89 4
88 98 6
88 87 16
88 78 7
89 99 1
89 88 5
89 79 13
90 91 9
90 80 13
91 92 12
91 90 15
91 81 12
92 93 7
92 91 3
92 82 17
93 94 8
93 92 11
93 83 4
94 95 2
94 93 19
94 84 16
95 96 3
95 94 6
95 85 6
96 97 17
96 95 14
96 86 10
97 98 8
97 96 20
97 87 15
98 99 18
98 97 12
98 88 2
99 98 16
99 89 20
0 99
